# YYYY MM DD HHMM  Lon(deg)  Lat(deg)  Dist(AU)
2017 06 21 0000  292.929979  2.428258  102.290610
2017 06 22 0000  292.921027  2.428445  102.250423
2017 06 23 0000  292.912006  2.428625  102.210505
2017 06 24 0000  292.902919  2.428799  102.170858
2017 06 25 0000  292.893768  2.428966  102.131483
2017 06 26 0000  292.884556  2.429128  102.092382
2017 06 27 0000  292.875286  2.429283  102.053557
2017 06 28 0000  292.865961  2.429431  102.015009
2017 06 29 0000  292.856583  2.429573  101.976739
2017 06 30 0000  292.847156  2.429708  101.938749
2017 07 01 0000  292.837682  2.429837  101.901039
2017 07 02 0000  292.828163  2.429959  101.863609
2017 07 03 0000  292.818603  2.430074  101.826462
2017 07 04 0000  292.809004  2.430183  101.789597
2017 07 05 0000  292.799368  2.430285  101.753015
2017 07 06 0000  292.789698  2.430380  101.716717
