# YYYY MM DD HHMM  Lon(deg)  Lat(deg)  Dist(AU)
2016 12 10 0000  292.758713  2.402483  109.698453
2016 12 11 0000  292.758457  2.402501  109.664907
2016 12 12 0000  292.758201  2.402520  109.631361
2016 12 13 0000  292.757944  2.402539  109.597815
2016 12 14 0000  292.757687  2.402558  109.564268
2016 12 15 0000  292.757431  2.402576  109.530722
2016 12 16 0000  292.757174  2.402595  109.497176
2016 12 17 0000  292.756917  2.402614  109.463629
2016 12 18 0000  292.756659  2.402633  109.430083
2016 12 19 0000  292.756402  2.402652  109.396537
2016 12 20 0000  292.756144  2.402671  109.362991
2016 12 21 0000  292.755887  2.402689  109.329444
2016 12 22 0000  292.755629  2.402708  109.295898
2016 12 23 0000  292.755371  2.402727  109.262351
2016 12 24 0000  292.755112  2.402746  109.228805
2016 12 25 0000  292.754854  2.402765  109.195258
2016 12 26 0000  292.754596  2.402784  109.161712
2016 12 27 0000  292.754337  2.402803  109.128166
2016 12 28 0000  292.754078  2.402822  109.094619
2016 12 29 0000  292.753819  2.402841  109.061072
2016 12 30 0000  292.753560  2.402860  109.027526
2016 12 31 0000  292.753301  2.402879  108.993979
2017 01 01 0000  292.753041  2.402898  108.960433
2017 01 02 0000  292.752782  2.402917  108.926886
2017 01 03 0000  292.752522  2.402936  108.893340
2017 01 04 0000  292.752262  2.402955  108.859793
2017 01 05 0000  292.752002  2.402974  108.826246
2017 01 06 0000  292.751742  2.402993  108.792700
2017 01 07 0000  292.751481  2.403012  108.759153
2017 01 08 0000  292.751221  2.403031  108.725606
2017 01 09 0000  292.750960  2.403050  108.692059
2017 01 10 0000  292.750699  2.403069  108.658513
2017 01 11 0000  292.750438  2.403088  108.624966
2017 01 12 0000  292.750177  2.403107  108.591419
2017 01 13 0000  292.749916  2.403126  108.557872
2017 01 14 0000  292.749655  2.403145  108.524325
2017 01 15 0000  292.749393  2.403164  108.490779
2017 01 16 0000  292.749131  2.403184  108.457232
2017 01 17 0000  292.748869  2.403203  108.423685
2017 01 18 0000  292.748607  2.403222  108.390138
2017 01 19 0000  292.748345  2.403241  108.356591
2017 01 20 0000  292.748082  2.403260  108.323044
2017 01 21 0000  292.747820  2.403280  108.289497
2017 01 22 0000  292.747557  2.403299  108.255950
2017 01 23 0000  292.747294  2.403318  108.222403
2017 01 24 0000  292.747031  2.403337  108.188856
2017 01 25 0000  292.746768  2.403357  108.155309
2017 01 26 0000  292.746505  2.403376  108.121762
2017 01 27 0000  292.746241  2.403395  108.088215
2017 01 28 0000  292.745978  2.403414  108.054668
2017 01 29 0000  292.745714  2.403434  108.021120
2017 01 30 0000  292.745450  2.403453  107.987573
2017 01 31 0000  292.745186  2.403472  107.954026
2017 02 01 0000  292.744921  2.403492  107.920479
2017 02 02 0000  292.744657  2.403511  107.886932
2017 02 03 0000  292.744392  2.403530  107.853384
2017 02 04 0000  292.744127  2.403550  107.819837
2017 02 05 0000  292.743862  2.403569  107.786290
2017 02 06 0000  292.743597  2.403589  107.752743
2017 02 07 0000  292.743332  2.403608  107.719195
2017 02 08 0000  292.743067  2.403627  107.685648
2017 02 09 0000  292.742801  2.403647  107.652101
2017 02 10 0000  292.742535  2.403666  107.618553
2017 02 11 0000  292.742269  2.403686  107.585006
2017 02 12 0000  292.742003  2.403705  107.551458
2017 02 13 0000  292.741737  2.403725  107.517911
2017 02 14 0000  292.741471  2.403744  107.484364
2017 02 15 0000  292.741204  2.403764  107.450816
2017 02 16 0000  292.740938  2.403783  107.417269
2017 02 17 0000  292.740671  2.403803  107.383721
2017 02 18 0000  292.740404  2.403822  107.350173
2017 02 19 0000  292.740136  2.403842  107.316626
2017 02 20 0000  292.739869  2.403861  107.283078
2017 02 21 0000  292.739602  2.403881  107.249531
2017 02 22 0000  292.739334  2.403901  107.215983
2017 02 23 0000  292.739066  2.403920  107.182435
2017 02 24 0000  292.738798  2.403940  107.148888
2017 02 25 0000  292.738530  2.403959  107.115340
2017 02 26 0000  292.738262  2.403979  107.081792
2017 02 27 0000  292.737993  2.403999  107.048245
2017 02 28 0000  292.737724  2.404018  107.014697
2017 03 01 0000  292.737456  2.404038  106.981149
2017 03 02 0000  292.737187  2.404058  106.947601
2017 03 03 0000  292.736918  2.404077  106.914053
2017 03 04 0000  292.736648  2.404097  106.880506
2017 03 05 0000  292.736379  2.404117  106.846958
2017 03 06 0000  292.736109  2.404137  106.813410
2017 03 07 0000  292.735839  2.404156  106.779862
2017 03 08 0000  292.735569  2.404176  106.746314
2017 03 09 0000  292.735299  2.404196  106.712766
2017 03 10 0000  292.735029  2.404216  106.679218
2017 03 11 0000  292.734759  2.404236  106.645670
2017 03 12 0000  292.734488  2.404255  106.612122
2017 03 13 0000  292.734217  2.404275  106.578574
2017 03 14 0000  292.733946  2.404295  106.545026
2017 03 15 0000  292.733675  2.404315  106.511478
2017 03 16 0000  292.733404  2.404335  106.477930
2017 03 17 0000  292.733132  2.404355  106.444382
2017 03 18 0000  292.732861  2.404374  106.410834
2017 03 19 0000  292.732589  2.404394  106.377285
2017 03 20 0000  292.732317  2.404414  106.343737
2017 03 21 0000  292.732045  2.404434  106.310189
2017 03 22 0000  292.731773  2.404454  106.276641
2017 03 23 0000  292.731500  2.404474  106.243092
2017 03 24 0000  292.731228  2.404494  106.209544
2017 03 25 0000  292.730955  2.404514  106.175996
2017 03 26 0000  292.730682  2.404534  106.142448
2017 03 27 0000  292.730409  2.404554  106.108899
2017 03 28 0000  292.730136  2.404574  106.075351
2017 03 29 0000  292.729862  2.404594  106.041802
2017 03 30 0000  292.729589  2.404614  106.008254
2017 03 31 0000  292.729315  2.404634  105.974706
2017 04 01 0000  292.729041  2.404654  105.941157
2017 04 02 0000  292.728767  2.404674  105.907609
2017 04 03 0000  292.728493  2.404694  105.874060
2017 04 04 0000  292.728218  2.404714  105.840512
2017 04 05 0000  292.727944  2.404734  105.806963
2017 04 06 0000  292.727669  2.404755  105.773414
2017 04 07 0000  292.727394  2.404775  105.739866
2017 04 08 0000  292.727119  2.404795  105.706317
2017 04 09 0000  292.726844  2.404815  105.672769
2017 04 10 0000  292.726568  2.404835  105.639220
2017 04 11 0000  292.726293  2.404855  105.605671
2017 04 12 0000  292.726017  2.404876  105.572123
2017 04 13 0000  292.725741  2.404896  105.538574
2017 04 14 0000  292.725465  2.404916  105.505025
2017 04 15 0000  292.725189  2.404936  105.471476
2017 04 16 0000  292.724912  2.404956  105.437927
2017 04 17 0000  292.724636  2.404977  105.404379
2017 04 18 0000  292.724359  2.404997  105.370830
2017 04 19 0000  292.724082  2.405017  105.337281
2017 04 20 0000  292.723805  2.405038  105.303732
2017 04 21 0000  292.723528  2.405058  105.270183
2017 04 22 0000  292.723250  2.405078  105.236634
2017 04 23 0000  292.722972  2.405099  105.203085
2017 04 24 0000  292.722695  2.405119  105.169536
2017 04 25 0000  292.722417  2.405139  105.135987
2017 04 26 0000  292.722139  2.405160  105.102438
2017 04 27 0000  292.721860  2.405180  105.068889
2017 04 28 0000  292.721582  2.405200  105.035340
2017 04 29 0000  292.721303  2.405221  105.001790
2017 04 30 0000  292.721024  2.405241  104.968241
2017 05 01 0000  292.720745  2.405262  104.934692
2017 05 02 0000  292.720466  2.405282  104.901143
2017 05 03 0000  292.720187  2.405303  104.867594
2017 05 04 0000  292.719907  2.405323  104.834044
2017 05 05 0000  292.719628  2.405344  104.800495
2017 05 06 0000  292.719348  2.405364  104.766946
2017 05 07 0000  292.719068  2.405385  104.733396
2017 05 08 0000  292.718787  2.405405  104.699847
2017 05 09 0000  292.718507  2.405426  104.666298
2017 05 10 0000  292.718227  2.405446  104.632748
2017 05 11 0000  292.717946  2.405467  104.599199
2017 05 12 0000  292.717665  2.405487  104.565649
2017 05 13 0000  292.717384  2.405508  104.532100
2017 05 14 0000  292.717103  2.405528  104.498550
2017 05 15 0000  292.716821  2.405549  104.465001
2017 05 16 0000  292.716540  2.405570  104.431451
2017 05 17 0000  292.716258  2.405590  104.397901
2017 05 18 0000  292.715976  2.405611  104.364352
2017 05 19 0000  292.715694  2.405632  104.330802
2017 05 20 0000  292.715411  2.405652  104.297252
2017 05 21 0000  292.715129  2.405673  104.263703
2017 05 22 0000  292.714846  2.405694  104.230153
2017 05 23 0000  292.714564  2.405715  104.196603
2017 05 24 0000  292.714281  2.405735  104.163053
2017 05 25 0000  292.713997  2.405756  104.129503
2017 05 26 0000  292.713714  2.405777  104.095953
2017 05 27 0000  292.713430  2.405798  104.062404
2017 05 28 0000  292.713147  2.405818  104.028854
2017 05 29 0000  292.712863  2.405839  103.995304
2017 05 30 0000  292.712579  2.405860  103.961754
2017 05 31 0000  292.712295  2.405881  103.928204
2017 06 01 0000  292.712010  2.405902  103.894654
2017 06 02 0000  292.711726  2.405922  103.861104
2017 06 03 0000  292.711441  2.405943  103.827554
2017 06 04 0000  292.711156  2.405964  103.794003
2017 06 05 0000  292.710871  2.405985  103.760453
2017 06 06 0000  292.710585  2.406006  103.726903
2017 06 07 0000  292.710300  2.406027  103.693353
2017 06 08 0000  292.710014  2.406048  103.659803
2017 06 09 0000  292.709728  2.406069  103.626252
2017 06 10 0000  292.709442  2.406090  103.592702
2017 06 11 0000  292.709156  2.406111  103.559152
2017 06 12 0000  292.708870  2.406132  103.525601
2017 06 13 0000  292.708583  2.406153  103.492051
2017 06 14 0000  292.708296  2.406174  103.458501
2017 06 15 0000  292.708010  2.406195  103.424950
2017 06 16 0000  292.707722  2.406216  103.391400
2017 06 17 0000  292.707435  2.406237  103.357849
2017 06 18 0000  292.707148  2.406258  103.324299
2017 06 19 0000  292.706860  2.406279  103.290748
2017 06 20 0000  292.706572  2.406300  103.257198
2017 06 21 0000  292.706284  2.406321  103.223647
2017 06 22 0000  292.705996  2.406342  103.190097
2017 06 23 0000  292.705708  2.406364  103.156546
2017 06 24 0000  292.705419  2.406385  103.122995
