# YYYY MM DD HHMM  Lon(deg)  Lat(deg)  Dist(AU)
2016 08 09 0000  292.791389  2.400206  113.823177
2016 08 10 0000  292.791152  2.400224  113.789627
2016 08 11 0000  292.790915  2.400241  113.756076
2016 08 12 0000  292.790677  2.400259  113.722525
2016 08 13 0000  292.790440  2.400276  113.688974
2016 08 14 0000  292.790202  2.400294  113.655424
2016 08 15 0000  292.789964  2.400312  113.621873
2016 08 16 0000  292.789726  2.400329  113.588322
2016 08 17 0000  292.789488  2.400347  113.554771
2016 08 18 0000  292.789250  2.400364  113.521221
2016 08 19 0000  292.789012  2.400382  113.487670
2016 08 20 0000  292.788773  2.400400  113.454119
2016 08 21 0000  292.788534  2.400418  113.420568
2016 08 22 0000  292.788296  2.400435  113.387017
2016 08 23 0000  292.788057  2.400453  113.353466
2016 08 24 0000  292.787818  2.400471  113.319915
2016 08 25 0000  292.787578  2.400488  113.286364
2016 08 26 0000  292.787339  2.400506  113.252813
2016 08 27 0000  292.787100  2.400524  113.219262
2016 08 28 0000  292.786860  2.400542  113.185711
2016 08 29 0000  292.786620  2.400559  113.152160
2016 08 30 0000  292.786380  2.400577  113.118609
2016 08 31 0000  292.786140  2.400595  113.085058
2016 09 01 0000  292.785900  2.400613  113.051507
2016 09 02 0000  292.785660  2.400631  113.017956
2016 09 03 0000  292.785419  2.400648  112.984405
2016 09 04 0000  292.785179  2.400666  112.950853
2016 09 05 0000  292.784938  2.400684  112.917302
2016 09 06 0000  292.784697  2.400702  112.883751
2016 09 07 0000  292.784456  2.400720  112.850200
2016 09 08 0000  292.784215  2.400738  112.816648
2016 09 09 0000  292.783973  2.400756  112.783097
2016 09 10 0000  292.783732  2.400773  112.749546
2016 09 11 0000  292.783490  2.400791  112.715994
2016 09 12 0000  292.783248  2.400809  112.682443
2016 09 13 0000  292.783006  2.400827  112.648892
2016 09 14 0000  292.782764  2.400845  112.615340
2016 09 15 0000  292.782522  2.400863  112.581789
2016 09 16 0000  292.782280  2.400881  112.548237
2016 09 17 0000  292.782037  2.400899  112.514686
2016 09 18 0000  292.781795  2.400917  112.481135
2016 09 19 0000  292.781552  2.400935  112.447583
2016 09 20 0000  292.781309  2.400953  112.414031
2016 09 21 0000  292.781066  2.400971  112.380480
2016 09 22 0000  292.780823  2.400989  112.346928
2016 09 23 0000  292.780579  2.401007  112.313377
2016 09 24 0000  292.780336  2.401025  112.279825
2016 09 25 0000  292.780092  2.401043  112.246274
2016 09 26 0000  292.779848  2.401061  112.212722
2016 09 27 0000  292.779604  2.401079  112.179170
2016 09 28 0000  292.779360  2.401097  112.145619
2016 09 29 0000  292.779116  2.401116  112.112067
2016 09 30 0000  292.778872  2.401134  112.078515
2016 10 01 0000  292.778627  2.401152  112.044963
2016 10 02 0000  292.778382  2.401170  112.011412
2016 10 03 0000  292.778138  2.401188  111.977860
2016 10 04 0000  292.777893  2.401206  111.944308
2016 10 05 0000  292.777647  2.401224  111.910756
2016 10 06 0000  292.777402  2.401243  111.877204
2016 10 07 0000  292.777157  2.401261  111.843652
2016 10 08 0000  292.776911  2.401279  111.810100
2016 10 09 0000  292.776666  2.401297  111.776548
2016 10 10 0000  292.776420  2.401315  111.742996
2016 10 11 0000  292.776174  2.401334  111.709445
2016 10 12 0000  292.775927  2.401352  111.675893
2016 10 13 0000  292.775681  2.401370  111.642340
2016 10 14 0000  292.775435  2.401388  111.608788
2016 10 15 0000  292.775188  2.401407  111.575236
2016 10 16 0000  292.774941  2.401425  111.541684
2016 10 17 0000  292.774695  2.401443  111.508132
2016 10 18 0000  292.774447  2.401462  111.474580
2016 10 19 0000  292.774200  2.401480  111.441028
2016 10 20 0000  292.773953  2.401498  111.407476
2016 10 21 0000  292.773705  2.401517  111.373924
2016 10 22 0000  292.773458  2.401535  111.340371
2016 10 23 0000  292.773210  2.401553  111.306819
2016 10 24 0000  292.772962  2.401572  111.273267
2016 10 25 0000  292.772714  2.401590  111.239715
2016 10 26 0000  292.772466  2.401608  111.206162
2016 10 27 0000  292.772217  2.401627  111.172610
2016 10 28 0000  292.771969  2.401645  111.139058
2016 10 29 0000  292.771720  2.401664  111.105505
2016 10 30 0000  292.771471  2.401682  111.071953
2016 10 31 0000  292.771222  2.401701  111.038400
2016 11 01 0000  292.770973  2.401719  111.004848
2016 11 02 0000  292.770724  2.401738  110.971296
2016 11 03 0000  292.770474  2.401756  110.937743
2016 11 04 0000  292.770225  2.401775  110.904191
2016 11 05 0000  292.769975  2.401793  110.870638
2016 11 06 0000  292.769725  2.401812  110.837085
2016 11 07 0000  292.769475  2.401830  110.803533
2016 11 08 0000  292.769225  2.401849  110.769980
2016 11 09 0000  292.768975  2.401867  110.736428
2016 11 10 0000  292.768724  2.401886  110.702875
2016 11 11 0000  292.768473  2.401904  110.669322
2016 11 12 0000  292.768223  2.401923  110.635770
2016 11 13 0000  292.767972  2.401941  110.602217
2016 11 14 0000  292.767721  2.401960  110.568664
2016 11 15 0000  292.767469  2.401979  110.535112
2016 11 16 0000  292.767218  2.401997  110.501559
2016 11 17 0000  292.766966  2.402016  110.468006
2016 11 18 0000  292.766715  2.402035  110.434453
2016 11 19 0000  292.766463  2.402053  110.400900
2016 11 20 0000  292.766211  2.402072  110.367348
2016 11 21 0000  292.765959  2.402091  110.333795
2016 11 22 0000  292.765706  2.402109  110.300242
2016 11 23 0000  292.765454  2.402128  110.266689
2016 11 24 0000  292.765201  2.402147  110.233136
2016 11 25 0000  292.764948  2.402166  110.199583
2016 11 26 0000  292.764695  2.402184  110.166030
