# YYYY MM DD HHMM  Lon_sid(deg)  Lat(deg)  Dist(AU)  Ayanamsa(deg)
2016 09 25 0000  267.324367  2.408596  111.898435  24.972452
2016 09 26 0000  267.321113  2.408267  111.881128  24.972488
2016 09 27 0000  267.318012  2.407935  111.863920  24.972513
2016 09 28 0000  267.315065  2.407602  111.846806  24.972527
2016 09 29 0000  267.312270  2.407267  111.829780  24.972532
2016 09 30 0000  267.309626  2.406930  111.812838  24.972531
2016 10 01 0000  267.307130  2.406591  111.795974  24.972529
2016 10 02 0000  267.304779  2.406250  111.779184  24.972529
2016 10 03 0000  267.302569  2.405908  111.762461  24.972534
2016 10 04 0000  267.300501  2.405564  111.745802  24.972547
2016 10 05 0000  267.298573  2.405219  111.729199  24.972567
2016 10 06 0000  267.296787  2.404872  111.712649  24.972596
2016 10 07 0000  267.295144  2.404524  111.696146  24.972633
2016 10 08 0000  267.293646  2.404176  111.679685  24.972673
2016 10 09 0000  267.292298  2.403826  111.663260  24.972715
2016 10 10 0000  267.291103  2.403475  111.646867  24.972755
2016 10 11 0000  267.290065  2.403124  111.630499  24.972790
2016 10 12 0000  267.289187  2.402772  111.614153  24.972815
2016 10 13 0000  267.288472  2.402420  111.597823  24.972831
2016 10 14 0000  267.287918  2.402067  111.581504  24.972836
2016 10 15 0000  267.287521  2.401714  111.565192  24.972837
2016 10 16 0000  267.287274  2.401361  111.548881  24.972839
2016 10 17 0000  267.287169  2.401008  111.532567  24.972852
2016 10 18 0000  267.287202  2.400655  111.516245  24.972879
2016 10 19 0000  267.287372  2.400302  111.499912  24.972921
2016 10 20 0000  267.287683  2.399950  111.483560  24.972975
2016 10 21 0000  267.288142  2.399598  111.467187  24.973032
2016 10 22 0000  267.288758  2.399247  111.450787  24.973086
2016 10 23 0000  267.289536  2.398896  111.434354  24.973132
2016 10 24 0000  267.290477  2.398546  111.417885  24.973167
2016 10 25 0000  267.291583  2.398197  111.401372  24.973190
2016 10 26 0000  267.292850  2.397849  111.384811  24.973204
2016 10 27 0000  267.294276  2.397502  111.368197  24.973212
2016 10 28 0000  267.295857  2.397156  111.351524  24.973218
2016 10 29 0000  267.297588  2.396811  111.334787  24.973225
2016 10 30 0000  267.299467  2.396468  111.317980  24.973237
2016 10 31 0000  267.301488  2.396126  111.301097  24.973256
2016 11 01 0000  267.303652  2.395785  111.284135  24.973284
2016 11 02 0000  267.305957  2.395447  111.267086  24.973320
2016 11 03 0000  267.308404  2.395110  111.249947  24.973364
2016 11 04 0000  267.310993  2.394775  111.232711  24.973413
2016 11 05 0000  267.313727  2.394442  111.215374  24.973465
2016 11 06 0000  267.316609  2.394111  111.197931  24.973516
2016 11 07 0000  267.319641  2.393782  111.180375  24.973562
2016 11 08 0000  267.322825  2.393456  111.162704  24.973600
2016 11 09 0000  267.326161  2.393132  111.144911  24.973630
2016 11 10 0000  267.329649  2.392811  111.126993  24.973650
2016 11 11 0000  267.333284  2.392493  111.108944  24.973663
2016 11 12 0000  267.337061  2.392177  111.090760  24.973675
2016 11 13 0000  267.340969  2.391864  111.072437  24.973693
2016 11 14 0000  267.345003  2.391555  111.053971  24.973725
2016 11 15 0000  267.349156  2.391248  111.035357  24.973773
2016 11 16 0000  267.353429  2.390945  111.016592  24.973836
2016 11 17 0000  267.357828  2.390645  110.997671  24.973908
2016 11 18 0000  267.362360  2.390348  110.978590  24.973979
2016 11 19 0000  267.367031  2.390055  110.959344  24.974043
2016 11 20 0000  267.371845  2.389766  110.939929  24.974095
2016 11 21 0000  267.376802  2.389480  110.920340  24.974135
2016 11 22 0000  267.381897  2.389198  110.900574  24.974164
2016 11 23 0000  267.387126  2.388920  110.880624  24.974186
2016 11 24 0000  267.392484  2.388646  110.860488  24.974204
2016 11 25 0000  267.397966  2.388375  110.840160  24.974223
2016 11 26 0000  267.403566  2.388109  110.819637  24.974245
2016 11 27 0000  267.409280  2.387847  110.798912  24.974274
2016 11 28 0000  267.415104  2.387589  110.777984  24.974311
2016 11 29 0000  267.421037  2.387336  110.756846  24.974357
2016 11 30 0000  267.427076  2.387087  110.735495  24.974411
2016 12 01 0000  267.433223  2.386843  110.713928  24.974471
2016 12 02 0000  267.439478  2.386603  110.692139  24.974534
2016 12 03 0000  267.445843  2.386367  110.670126  24.974597
2016 12 04 0000  267.452318  2.386137  110.647884  24.974655
2016 12 05 0000  267.458906  2.385911  110.625411  24.974707
2016 12 06 0000  267.465605  2.385691  110.602702  24.974749
2016 12 07 0000  267.472414  2.385475  110.579755  24.974782
2016 12 08 0000  267.479329  2.385265  110.556566  24.974807
2016 12 09 0000  267.486343  2.385060  110.533132  24.974829
2016 12 10 0000  267.493448  2.384860  110.509452  24.974854
2016 12 11 0000  267.500636  2.384665  110.485521  24.974888
2016 12 12 0000  267.507897  2.384476  110.461337  24.974937
2016 12 13 0000  267.515230  2.384292  110.436899  24.975002
2016 12 14 0000  267.522635  2.384114  110.412203  24.975079
2016 12 15 0000  267.530119  2.383942  110.387247  24.975162
2016 12 16 0000  267.537687  2.383775  110.362028  24.975240
2016 12 17 0000  267.545345  2.383614  110.336545  24.975307
2016 12 18 0000  267.553093  2.383458  110.310794  24.975361
